 Paul Reiser 
 Paul Rudd 
 Paul Sorvino 
 Pauly Shore 
 Perry King 
 Peter Cushing 
 Peter Scolari 
 Peter Stormare 
 Peter Wingfield 
 Phil Hartman 
 Pierce Brosnan 
 Quenton Tarantino 
 Ralph Finnes 
 Randolph Mantooth 
 Randy Quaid 
 Ray Liotta 
 Raymond Massey 
 Rel Hunt 
 Ricardo Montalbon 
 Richard Burgi 
 Richard Chamberlain 
 Richard Dean Anderson 
 Richard Dreyfus 
 Richard Gere 
 Richard Jaeckel 
 Richard Pryor 
 Richard Ridings 
 Rick Worthy 
 Ricky Martin 
 Rider King Strong 
 River Phoenix 
 Roark Critchlow 
 Rob Estes 
 Rob Lowe 
 Robert Beltran 
 Robert DeNiro 
 Robert Downey Jr. 
 Robert Duncan McNeil 
 Robert Duvall 
 Robert Evan 
 Robert Fuller 
 Robert Mitchum 
 Robert Picardo 
 Robert Redford 
 Robert Ri' chard 
 Robert Sean Leonard 
 Robert Vaughn 
 Robert Wagner 
 Robin Shou 
 Robin Williams 
 Roddy McDowall 
 Rodney Dangerfield 
 Rodney Grant 
 Rodney Rowland 
 Roger Daltrey 
 Roger Howarth 
 Roger Moore 
 Ron Perlman 
 Ronald Colman 
 Roy Dupuis 
 Roy Rodgers 
 Roy Scheider 
 Rudolf Valentino 
 Rufus Sewell 
 Rupert Everet 
 Russell Crowe 
 Rutger Hauer 
 Ryan Phillipe 
 Ryan Reynolds 
 Ryf Van Rij 
 Sam Huntington 
 Sam Neill 
 Sam Shepard 
 Samuel L. Jackson 
 Scott Baio 
 Scott Bairstow 
 Scott Bakula 
 Scott Speedman 
 Scott Wolf 
 Sean Bean 
 Sean Connery 
 Sean Penn 
 Seth Green 
 Shalmar Moore 
 Shemp Howard 
 Sidney Poitier 
 Simon Callow 
 Sir Ian McKellen 
 Sir Laurence Olivier 
 Skeet Ulrich 
 Skip Dewling 
 Spencer Tracey 
 Stacey Keech 
 Stan Kirsch 
 Stan Laurel and Oliver Hardy 
 Stephen Baldwin 
 Stephen Collins 
 Stephen Dorff 
 Stephen Rea 
 Sterling Hayden 
 Steve Burton 
 Steve Buscemi 
 Steve Martin 
 Steven Segal 
 Steven Waddington 
 Stuart Townsend 
 Sylvester Stallone 
 Ted Raimi 
 Terence Stamp 
 Terrence Mann 
 Tim Abell 
 Tim Allen 
 Tim Curry 
 Tim Robbins 
 Tim Roth 
 Timothy Dalton 
 Timothy Hutton 
 Tom Arnold 
 Tom Berenger 
 Tom Cruise 
 Tom Everett Scott 
 Tom Hanks 
 Tom Jones 
 Tom Selleck 
 Tom Sizemore 
 Tommy Chong 
 Tommy Lee Jones 
 Tony Danza 
 Tucker Smallwood 
 Tyler Christopher 
 Tyrone Burton 
 Val Kilmer 
 Valentine Pelka 
 Victor Garber 
 Vince Vaungh 
 Vincent Gallo 
 Vincent Price 
 Ving Rhames 
 Von Flores 
 Wally Kurth 
 Walter Huston 
 Walter Matthau 
 Warren Beatty 
 Warwick Davis 
 Weird Al Yancovic 
 Wesley Snipes 
 Will Fridel 
 Will Patton 
 Will Smith 
 William Baldwin 
 William Forsythe 
 William Hurt 
 William Macy 
 William Powell 
 William Russ 
 William Shatner 
 William Smith 
 Woody Allen 
 Woody Harrelson 
 Zachary Ty Bryan
