Isabelle Adjani
Ann
Glenda Jackson
Carol Kane
Faye Dunaway
Marie
Talia Shire
Sissy Spacek
Liv Ullmann
Diane Keaton
Anne Bancroft
Jane Fonda
Shirley MacLaine
Marsha Mason
Jane Fonda
Ingrid Bergman
Ellen Burstyn
Jill Clayburgh
Geraldine Page
Sally Field
Jill Clayburgh
Jane Fonda
Marsha Mason
Bette Midler
Sissy Spacek
Ellen Burstyn
Goldie Hawn
Mary Tyler Moore
Gena Rowlands
Katharine Hepburn
Diane Keaton
Marsha Mason
Susan Sarandon
Meryl Streep
Meryl Streep
Julie Andrews
Jessica Lange
Sissy Spacek
Debra Winger
Shirley MacLaine
Jane Alexander
Meryl Streep
Julie Walters
Debra Winger
Sally Field
Judy Davis
Jessica Lange
Vanessa Redgrave
Sissy Spacek
Geraldine Page
Anne Bancroft
Whoopi Goldberg
Jessica Lange
Meryl Streep
Marlee Matlin
Jane Fonda
Sissy Spacek
Kathleen Turner
Sigourney Weaver
Cher
Glenn Close
Holly Hunter
Sally Kirkland
Meryl Streep
Jodie Foster
Glenn Close
Melanie Griffith
Meryl Streep
Sigourney Weaver
Jessica Tandy
Isabelle Adjani
Pauline Collins
Jessica Lange
Michelle Pfeiffer
Kathy Bates
Anjelica Huston
Julia Roberts
Meryl Streep
Joanne Woodward
Jodie Foster
Geena Davis
Laura Dern
Bette Midler
Susan Sarandon
Emma Thompson
Catherine Deneuve
Mary McDonnell
Michelle Pfeiffer
Susan Sarandon
Holly Hunter
Angela Bassett
Stockard Channing
Emma Thompson
Debra Winger
Jessica Lange
Jodie Foster
Miranda Richardson
Winona Ryder
Susan Sarandon
Susan Sarandon
Elisabeth Shue
Sharon Stone
Meryl Streep
Emma Thompson
Frances McDormand
Brenda Blethyn
Diane Keaton
Kristin Scott Thomas
Emily Watson
Helen Hunt
Helena Bonham Carter
Julie Christie
Judi Dench
Kate Winslet
Gwyneth Paltrow
Cate Blanchett
Fernanda Montenegro
Meryl Streep
Emily Watson
Hilary Swank
Annette Bening
Janet McTeer
Julianne Moore
Meryl Streep
Julia Roberts
Joan Allen
Juliette Binoche
Ellen Burstyn
Laura Linney
Halle Berry
Judi Dench
Nicole Kidman
Sissy Spacek
Renée Zellweger
Nicole Kidman
Salma Hayek
Diane Lane
Julianne Moore
Renée Zellweger
Charlize Theron
Keisha Castle-Hughes
Diane Keaton
Samantha Morton
Naomi Watts
Hilary Swank
Annette Bening
Catalina Sandino Moreno
Imelda Staunton
Kate Winslet
Reese Witherspoon
Judi Dench
Felicity Huffman
Keira Knightley
Charlize Theron
Helen Mirren
Penélope Cruz
Judi Dench
Meryl Streep
Kate Winslet
Marion Cotillard
Cate Blanchett
Julie Christie
Laura Linney
Ellen Page
Kate Winslet
Anne Hathaway
Angelina Jolie
Melissa Leo
Meryl Streep
Sandra Bullock
Helen Mirren
Carey Mulligan
Gabourey Sidibe
Meryl Streep
